raw_response,llm_action,llm_product,llm_quantity
"{""action"":""add"",""product"":""juice"",""quantity"":1}",add,juice,1
"{""action"":""add"",""product"":""mango"",""quantity"":14}",add,mango,14
"{""action"":""add"",""product"":""fries"",""quantity"":15}",add,fries,15
"{""action"":""remove"",""product"":""potatoes"",""quantity"":16}",remove,potatoes,16
"{""action"":""add"",""product"":""foil"",""quantity"":8}",add,foil,8
"{""action"":""remove"",""product"":""gelato"",""quantity"":17}",remove,gelato,17
"{""action"":""remove"",""product"":""raspberries"",""quantity"":9}",remove,raspberries,9
"{""action"":""remove"",""product"":""eggs"",""quantity"":5}",remove,eggs,5
"{""action"":""add"",""product"":""garlic"",""quantity"":16}",add,garlic,16
"{""action"":""remove"",""product"":""water"",""quantity"":5}",remove,water,5
"{""action"":""add"",""product"":""butter"",""quantity"":4}",add,butter,4
"{""action"":""remove"",""product"":""foil"",""quantity"":19}",remove,foil,19
"{""action"":""remove"",""product"":""vegetables"",""quantity"":3}",remove,vegetables,3
"{""action"":""remove"",""product"":""fries"",""quantity"":3}",remove,fries,3
"{""action"":""remove"",""product"":""beef"",""quantity"":17}",remove,beef,17
"{""action"":""remove"",""product"":""packs of bananas"",""quantity"":5}",remove,packs of bananas,5
"{""action"":""add"",""product"":""brownsugar"",""quantity"":4}",add,brownsugar,4
"{""action"":""remove"",""product"":""soap"",""quantity"":7}",remove,soap,7
"{""action"":""add"",""product"":""potatoes"",""quantity"":9}",add,potatoes,9
"{""action"":""add"",""product"":""tea"",""quantity"":6}",add,tea,6
"{""action"":""add"",""product"":""cola"",""quantity"":10}",add,cola,10
"{""action"":""remove"",""product"":""cheddar"",""quantity"":3}",remove,cheddar,3
"{""action"":""remove"",""product"":""salmon"",""quantity"":19}",remove,salmon,19
"{""action"":""add"",""product"":""fries"",""quantity"":1}",add,fries,1
"{""action"":""remove"",""product"":""tea"",""quantity"":1}",remove,tea,1
"{""action"":""remove"",""product"":""foil"",""quantity"":9}",remove,foil,9
"{""action"":""add"",""product"":""beef"",""quantity"":17}",add,beef,17
"{""action"":""remove"",""product"":""milk"",""quantity"":18}",remove,milk,18
"{""action"":""add"",""product"":""oranges"",""quantity"":10}",add,oranges,10
"{""action"":""add"",""product"":""brownsugar"",""quantity"":16}",add,brownsugar,16
"{""action"":""remove"",""product"":""tea"",""quantity"":4}",remove,tea,4
"{""action"":""add"",""product"":""packs of kibble"",""quantity"":5}",add,packs of kibble,5
"{""action"":""add"",""product"":""milk"",""quantity"":16}",add,milk,16
"{""action"":""remove"",""product"":""soap"",""quantity"":10}",remove,soap,10
"{""action"":""remove"",""product"":""limes"",""quantity"":14}",remove,limes,14
"{""action"":""add"",""product"":""soap"",""quantity"":13}",add,soap,13
"{""action"":""add"",""product"":""gelato"",""quantity"":15}",add,gelato,15
"{""action"":""remove"",""product"":""sunfloweroil"",""quantity"":20}",remove,sunfloweroil,20
"{""action"":""remove"",""product"":""milk"",""quantity"":2}",remove,milk,2
"{""action"":""add"",""product"":""tuna"",""quantity"":20}",add,tuna,20
"{""action"":""add"",""product"":""potatoes"",""quantity"":9}",add,potatoes,9
"{""action"":""add"",""product"":""spaghetti"",""quantity"":3}",add,spaghetti,3
"{""action"":""remove"",""product"":""water"",""quantity"":8}",remove,water,8
"{""action"":""remove"",""product"":""quinoa"",""quantity"":12}",remove,quinoa,12
"{""action"":""add"",""product"":""watermelon"",""quantity"":20}",add,watermelon,20
"{""action"":""add"",""product"":""watermelon"",""quantity"":6}",add,watermelon,6
"{""action"":""add"",""product"":""pepper"",""quantity"":14}",add,pepper,14
"{""action"":""add"",""product"":""sunfloweroil"",""quantity"":17}",add,sunfloweroil,17
"{""action"":""remove"",""product"":""vegetables"",""quantity"":19}",remove,vegetables,19
"{""action"":""remove"",""product"":""oliveoil"",""quantity"":8}",remove,oliveoil,8
"{""action"":""remove"",""product"":""mango"",""quantity"":6}",remove,mango,6
"{""action"":""remove"",""product"":""broccoli"",""quantity"":8}",remove,broccoli,8
"{""action"":""add"",""product"":""tea"",""quantity"":1}",add,tea,1
"{""action"":""add"",""product"":""wipes"",""quantity"":1}",add,wipes,1
"{""action"":""add"",""product"":""pineapple"",""quantity"":9}",add,pineapple,9
"{""action"":""remove"",""product"":""detergent"",""quantity"":20}",remove,detergent,20
"{""action"":""remove"",""product"":""pasta"",""quantity"":8}",remove,pasta,8
"{""action"":""remove"",""product"":""raspberries"",""quantity"":5}",remove,raspberries,5
"{""action"":""add"",""product"":""butter"",""quantity"":7}",add,butter,7
"{""action"":""add"",""product"":""apples"",""quantity"":16}",add,apples,16
"{""action"":""remove"",""product"":""pepper"",""quantity"":7}",remove,pepper,7
"{""action"":""add"",""product"":""pepper"",""quantity"":9}",add,pepper,9
"{""action"":""remove"",""product"":""soap"",""quantity"":15}",remove,soap,15
"{""action"":""add"",""product"":""pineapple"",""quantity"":2}",add,pineapple,2
"{""action"":""remove"",""product"":""bellpeppers"",""quantity"":10}",remove,bellpeppers,10
"{""action"":""add"",""product"":""tea"",""quantity"":18}",add,tea,18
"{""action"":""add"",""product"":""wrap"",""quantity"":14}",add,wrap,14
"{""action"":""add"",""product"":""beef"",""quantity"":20}",add,beef,20
"{""action"":""remove"",""product"":""apples"",""quantity"":5}",remove,apples,5
"{""action"":""remove"",""product"":""litter"",""quantity"":12}",remove,litter,12
"{""action"":""add"",""product"":""pasta"",""quantity"":11}",add,pasta,11
"{""action"":""remove"",""product"":""strawberries"",""quantity"":7}",remove,strawberries,7
"{""action"":""remove"",""product"":""cola"",""quantity"":13}",remove,cola,13
"{""action"":""remove"",""product"":""juice"",""quantity"":12}",remove,juice,12
"{""action"":""add"",""product"":""garlic"",""quantity"":2}",add,garlic,2
"{""action"":""add"",""product"":""potatoes"",""quantity"":1}",add,potatoes,1
"{""action"":""remove"",""product"":""vegetables"",""quantity"":11}",remove,vegetables,11
"{""action"":""remove"",""product"":""mango"",""quantity"":12}",remove,mango,12
"{""action"":""remove"",""product"":""coffee"",""quantity"":11}",remove,coffee,11
"{""action"":""add"",""product"":""bananas"",""quantity"":2}",add,bananas,2
"{""action"":""add"",""product"":""lemons"",""quantity"":3}",add,lemons,3
"{""action"":""add"",""product"":""tea"",""quantity"":15}",add,tea,15
"{""action"":""remove"",""product"":""gelato"",""quantity"":20}",remove,gelato,20
"{""action"":""remove"",""product"":""17 juice"",""quantity"":17}",remove,17 juice,17
"{""action"":""remove"",""product"":""mozzarella"",""quantity"":7}",remove,mozzarella,7
"{""action"":""remove"",""product"":""mango"",""quantity"":9}",remove,mango,9
"{""action"":""remove"",""product"":""cereal"",""quantity"":13}",remove,cereal,13
"{""action"":""remove"",""product"":""conditioner"",""quantity"":5}",remove,conditioner,5
"{""action"":""add"",""product"":""juice"",""quantity"":5}",add,juice,5
"{""action"":""add"",""product"":""pasta"",""quantity"":1}",add,pasta,1
"{""action"":""add"",""product"":""paper"",""quantity"":5}",add,paper,5
"{""action"":""remove"",""product"":""cheddar"",""quantity"":20}",remove,cheddar,20
"{""action"":""remove"",""product"":""soap"",""quantity"":8}",remove,soap,8
"{""action"":""remove"",""product"":""mango"",""quantity"":19}",remove,mango,19
"{""action"":""remove"",""product"":""sweetpotatoes"",""quantity"":6}",remove,sweetpotatoes,6
"{""action"":""add"",""product"":""avocados"",""quantity"":9}",add,avocados,9
"{""action"":""remove"",""product"":""broccoli"",""quantity"":14}",remove,broccoli,14
"{""action"":""add"",""product"":""fries"",""quantity"":18}",add,fries,18
"{""action"":""remove"",""product"":""soap"",""quantity"":12}",remove,soap,12
"{""action"":""add"",""product"":""bulbs"",""quantity"":8}",add,bulbs,8
"{""action"":""remove"",""product"":""bellpeppers"",""quantity"":2}",remove,bellpeppers,2
"{""action"":""add"",""product"":""beef"",""quantity"":7}",add,beef,7
"{""action"":""remove"",""product"":""mozzarella"",""quantity"":7}",remove,mozzarella,7
"{""action"":""remove"",""product"":""bananas"",""quantity"":16}",remove,bananas,16
"{""action"":""add"",""product"":""foil"",""quantity"":17}",add,foil,17
"{""action"":""add"",""product"":""juice"",""quantity"":16}",add,juice,16
"{""action"":""add"",""product"":""paper"",""quantity"":15}",add,paper,15
"{""action"":""add"",""product"":""bags"",""quantity"":12}",add,bags,12
"{""action"":""add"",""product"":""milk"",""quantity"":15}",add,milk,15
"{""action"":""remove"",""product"":""cucumbers"",""quantity"":7}",remove,cucumbers,7
"{""action"":""remove"",""product"":""diapers"",""quantity"":8}",remove,diapers,8
"{""action"":""add"",""product"":""bellpeppers"",""quantity"":7}",add,bellpeppers,7
"{""action"":""add"",""product"":""chicken"",""quantity"":18}",add,chicken,18
"{""action"":""add"",""product"":""bellpeppers"",""quantity"":2}",add,bellpeppers,2
"{""action"":""add"",""product"":""conditioner"",""quantity"":4}",add,conditioner,4
"{""action"":""remove"",""product"":""strawberries"",""quantity"":20}",remove,strawberries,20
"{""action"":""remove"",""product"":""yogurt"",""quantity"":7}",remove,yogurt,7
"{""action"":""add"",""product"":""cereal"",""quantity"":6}",add,cereal,6
"{""action"":""add"",""product"":""tissues"",""quantity"":14}",add,tissues,14
"{""action"":""remove"",""product"":""shampoo"",""quantity"":14}",remove,shampoo,14
"{""action"":""remove"",""product"":""mango"",""quantity"":5}",remove,mango,5
"{""action"":""add"",""product"":""treats"",""quantity"":13}",add,treats,13
"{""action"":""add"",""product"":""treats"",""quantity"":16}",add,treats,16
"{""action"":""remove"",""product"":""mango"",""quantity"":7}",remove,mango,7
"{""action"":""add"",""product"":""litter"",""quantity"":10}",add,litter,10
"{""action"":""add"",""product"":""diapers"",""quantity"":17}",add,diapers,17
"{""action"":""remove"",""product"":""diapers"",""quantity"":10}",remove,diapers,10
"{""action"":""add"",""product"":""gelato"",""quantity"":10}",add,gelato,10
"{""action"":""add"",""product"":""bellpeppers"",""quantity"":15}",add,bellpeppers,15
"{""action"":""remove"",""product"":""oatmeal"",""quantity"":4}",remove,oatmeal,4
"{""action"":""remove"",""product"":""flour"",""quantity"":4}",remove,flour,4
"{""action"":""add"",""product"":""paper"",""quantity"":3}",add,paper,3
"{""action"":""add"",""product"":""bread"",""quantity"":16}",add,bread,16
"{""action"":""remove"",""product"":""chicken"",""quantity"":14}",remove,chicken,14
"{""action"":""remove"",""product"":""eggplant"",""quantity"":18}",remove,eggplant,18
"{""action"":""remove"",""product"":""wipes"",""quantity"":7}",remove,wipes,7
"{""action"":""remove"",""product"":""soap"",""quantity"":3}",remove,soap,3
"{""action"":""add"",""product"":""broccoli"",""quantity"":11}",add,broccoli,11
"{""action"":""add"",""product"":""cereal"",""quantity"":2}",add,cereal,2
"{""action"":""remove"",""product"":""more garlic"",""quantity"":8}",remove,more garlic,8
"{""action"":""add"",""product"":""tomatoes"",""quantity"":12}",add,tomatoes,12
"{""action"":""add"",""product"":""cheddar"",""quantity"":19}",add,cheddar,19
"{""action"":""add"",""product"":""paper"",""quantity"":11}",add,paper,11
"{""action"":""add"",""product"":""brownsugar"",""quantity"":7}",add,brownsugar,7
"{""action"":""remove"",""product"":""yogurt"",""quantity"":2}",remove,yogurt,2
"{""action"":""add"",""product"":""watermelon"",""quantity"":9}",add,watermelon,9
"{""action"":""remove"",""product"":""tissues"",""quantity"":13}",remove,tissues,13
"{""action"":""remove"",""product"":""milk"",""quantity"":13}",remove,milk,13
"{""action"":""add"",""product"":""granola"",""quantity"":10}",add,granola,10
"{""action"":""add"",""product"":""bags"",""quantity"":12}",add,bags,12
"{""action"":""add"",""product"":""rice"",""quantity"":5}",add,rice,5
"{""action"":""remove"",""product"":""chicken"",""quantity"":12}",remove,chicken,12
"{""action"":""add"",""product"":""toothbrush"",""quantity"":16}",add,toothbrush,16
"{""action"":""add"",""product"":""gelato"",""quantity"":1}",add,gelato,1
"{""action"":""add"",""product"":""garlic"",""quantity"":5}",add,garlic,5
"{""action"":""add"",""product"":""avocados"",""quantity"":13}",add,avocados,13
"{""action"":""remove"",""product"":""wash"",""quantity"":8}",remove,wash,8
"{""action"":""add"",""product"":""raspberries"",""quantity"":3}",add,raspberries,3
"{""action"":""add"",""product"":""shampoo"",""quantity"":9}",add,shampoo,9
"{""action"":""add"",""product"":""broccoli"",""quantity"":11}",add,broccoli,11
"{""action"":""add"",""product"":""wipes"",""quantity"":20}",add,wipes,20
"{""action"":""add"",""product"":""eggplant"",""quantity"":1}",add,eggplant,1
"{""action"":""remove"",""product"":""butter"",""quantity"":10}",remove,butter,10
"{""action"":""remove"",""product"":""packs of wipes"",""quantity"":12}",remove,packs of wipes,12
"{""action"":""add"",""product"":""litter"",""quantity"":16}",add,litter,16
"{""action"":""remove"",""product"":""juice"",""quantity"":2}",remove,juice,2
"{""action"":""add"",""product"":""spinach"",""quantity"":14}",add,spinach,14
"{""action"":""remove"",""product"":""shampoo"",""quantity"":8}",remove,shampoo,8
"{""action"":""remove"",""product"":""coffee"",""quantity"":7}",remove,coffee,7
"{""action"":""remove"",""product"":""kibble"",""quantity"":19}",remove,kibble,19
"{""action"":""remove"",""product"":""salmon"",""quantity"":10}",remove,salmon,10
"{""action"":""add"",""product"":""pepper"",""quantity"":3}",add,pepper,3
"{""action"":""remove"",""product"":""towels"",""quantity"":10}",remove,towels,10
"{""action"":""remove"",""product"":""conditioner"",""quantity"":6}",remove,conditioner,6
"{""action"":""remove"",""product"":""gelato"",""quantity"":15}",remove,gelato,15
"{""action"":""remove"",""product"":""toothpaste"",""quantity"":1}",remove,toothpaste,1
"{""action"":""remove"",""product"":""brownsugar"",""quantity"":10}",remove,brownsugar,10
"{""action"":""add"",""product"":""tea"",""quantity"":9}",add,tea,9
"{""action"":""add"",""product"":""packs of bulbs"",""quantity"":5}",add,packs of bulbs,5
"{""action"":""add"",""product"":""paper"",""quantity"":19}",add,paper,19
"{""action"":""remove"",""product"":""wipes"",""quantity"":10}",remove,wipes,10
"{""action"":""add"",""product"":""kibble"",""quantity"":9}",add,kibble,9
"{""action"":""add"",""product"":""cola"",""quantity"":1}",add,cola,1
"{""action"":""add"",""product"":""shampoo"",""quantity"":8}",add,shampoo,8
"{""action"":""remove"",""product"":""rice"",""quantity"":16}",remove,rice,16
"{""action"":""remove"",""product"":""salmon"",""quantity"":18}",remove,salmon,18
"{""action"":""remove"",""product"":""more juice"",""quantity"":17}",remove,more juice,17
"{""action"":""add"",""product"":""broccoli"",""quantity"":5}",add,broccoli,5
"{""action"":""remove"",""product"":""tuna"",""quantity"":19}",remove,tuna,19
"{""action"":""remove"",""product"":""potatoes"",""quantity"":3}",remove,potatoes,3
"{""action"":""add"",""product"":""kibble"",""quantity"":7}",add,kibble,7
"{""action"":""add"",""product"":""soap"",""quantity"":3}",add,soap,3
"{""action"":""add"",""product"":""eggs"",""quantity"":11}",add,eggs,11
"{""action"":""remove"",""product"":""packs of soap"",""quantity"":2}",remove,packs of soap,2
"{""action"":""remove"",""product"":""cheddar"",""quantity"":5}",remove,cheddar,5
"{""action"":""remove"",""product"":""pepper"",""quantity"":9}",remove,pepper,9
"{""action"":""remove"",""product"":""gelato"",""quantity"":17}",remove,gelato,17
"{""action"":""add"",""product"":""juice"",""quantity"":14}",add,juice,14
"{""action"":""add"",""product"":""towels"",""quantity"":9}",add,towels,9
"{""action"":""remove"",""product"":""cola"",""quantity"":2}",remove,cola,2
"{""action"":""remove"",""product"":""carrots"",""quantity"":4}",remove,carrots,4
"{""action"":""remove"",""product"":""bags"",""quantity"":4}",remove,bags,4
"{""action"":""add"",""product"":""avocados"",""quantity"":10}",add,avocados,10
"{""action"":""add"",""product"":""sunfloweroil"",""quantity"":13}",add,sunfloweroil,13
"{""action"":""remove"",""product"":""soap"",""quantity"":2}",remove,soap,2
"{""action"":""add"",""product"":""eggs"",""quantity"":6}",add,eggs,6
"{""action"":""remove"",""product"":""tea"",""quantity"":3}",remove,tea,3
"{""action"":""add"",""product"":""bulbs"",""quantity"":4}",add,bulbs,4
"{""action"":""add"",""product"":""wrap"",""quantity"":16}",add,wrap,16
"{""action"":""remove"",""product"":""raspberries"",""quantity"":20}",remove,raspberries,20
"{""action"":""add"",""product"":""spaghetti"",""quantity"":17}",add,spaghetti,17
"{""action"":""remove"",""product"":""cucumbers"",""quantity"":18}",remove,cucumbers,18
"{""action"":""add"",""product"":""cereal"",""quantity"":2}",add,cereal,2
"{""action"":""add"",""product"":""towels"",""quantity"":14}",add,towels,14
"{""action"":""add"",""product"":""packs of foil"",""quantity"":12}",add,packs of foil,12
"{""action"":""remove"",""product"":""batteries"",""quantity"":3}",remove,batteries,3
"{""action"":""add"",""product"":""pineapple"",""quantity"":8}",add,pineapple,8
"{""action"":""remove"",""product"":""vegetables"",""quantity"":11}",remove,vegetables,11
"{""action"":""remove"",""product"":""towels"",""quantity"":9}",remove,towels,9
"{""action"":""remove"",""product"":""sunfloweroil"",""quantity"":4}",remove,sunfloweroil,4
"{""action"":""remove"",""product"":""mango"",""quantity"":7}",remove,mango,7
"{""action"":""add"",""product"":""sweetpotatoes"",""quantity"":16}",add,sweetpotatoes,16
"{""action"":""add"",""product"":""broccoli"",""quantity"":9}",add,broccoli,9
"{""action"":""remove"",""product"":""spaghetti"",""quantity"":13}",remove,spaghetti,13
"{""action"":""remove"",""product"":""packs of bread"",""quantity"":2}",remove,packs of bread,2
"{""action"":""add"",""product"":""rice"",""quantity"":19}",add,rice,19
"{""action"":""remove"",""product"":""spinach"",""quantity"":10}",remove,spinach,10
"{""action"":""remove"",""product"":""mozzarella"",""quantity"":10}",remove,mozzarella,10
"{""action"":""add"",""product"":""coffee"",""quantity"":14}",add,coffee,14
"{""action"":""add"",""product"":""wipes"",""quantity"":8}",add,wipes,8
"{""action"":""add"",""product"":""lemons"",""quantity"":4}",add,lemons,4
"{""action"":""remove"",""product"":""sugar"",""quantity"":9}",remove,sugar,9
"{""action"":""add"",""product"":""sweetpotatoes"",""quantity"":9}",add,sweetpotatoes,9
"{""action"":""add"",""product"":""wrap"",""quantity"":13}",add,wrap,13
"{""action"":""remove"",""product"":""vegetables"",""quantity"":12}",remove,vegetables,12
"{""action"":""add"",""product"":""oatmeal"",""quantity"":15}",add,oatmeal,15
"{""action"":""remove"",""product"":""milk"",""quantity"":9}",remove,milk,9
"{""action"":""remove"",""product"":""mango"",""quantity"":19}",remove,mango,19
"{""action"":""remove"",""product"":""cucumbers"",""quantity"":19}",remove,cucumbers,19
"{""action"":""add"",""product"":""shampoo"",""quantity"":3}",add,shampoo,3
"{""action"":""remove"",""product"":""coffee"",""quantity"":18}",remove,coffee,18
"{""action"":""add"",""product"":""toothpaste"",""quantity"":12}",add,toothpaste,12
"{""action"":""add"",""product"":""juice"",""quantity"":4}",add,juice,4
"{""action"":""add"",""product"":""sweetpotatoes"",""quantity"":7}",add,sweetpotatoes,7
"{""action"":""add"",""product"":""quinoa"",""quantity"":13}",add,quinoa,13
"{""action"":""add"",""product"":""milk"",""quantity"":20}",add,milk,20
"{""action"":""add"",""product"":""potatoes"",""quantity"":15}",add,potatoes,15
"{""action"":""add"",""product"":""juice"",""quantity"":18}",add,juice,18
"{""action"":""add"",""product"":""butter"",""quantity"":7}",add,butter,7
"{""action"":""remove"",""product"":""detergent"",""quantity"":6}",remove,detergent,6
"{""action"":""remove"",""product"":""salmon"",""quantity"":16}",remove,salmon,16
"{""action"":""add"",""product"":""bulbs"",""quantity"":11}",add,bulbs,11
"{""action"":""add"",""product"":""onions"",""quantity"":9}",add,onions,9
"{""action"":""remove"",""product"":""eggs"",""quantity"":3}",remove,eggs,3
"{""action"":""add"",""product"":""beef"",""quantity"":8}",add,beef,8
"{""action"":""remove"",""product"":""bananas"",""quantity"":7}",remove,bananas,7
"{""action"":""remove"",""product"":""salmon"",""quantity"":2}",remove,salmon,2
"{""action"":""remove"",""product"":""gelato"",""quantity"":19}",remove,gelato,19
"{""action"":""add"",""product"":""butter"",""quantity"":12}",add,butter,12
"{""action"":""remove"",""product"":""butter"",""quantity"":6}",remove,butter,6
"{""action"":""remove"",""product"":""spaghetti"",""quantity"":2}",remove,spaghetti,2
"{""action"":""remove"",""product"":""sunfloweroil"",""quantity"":11}",remove,sunfloweroil,11
"{""action"":""remove"",""product"":""litter"",""quantity"":19}",remove,litter,19
"{""action"":""add"",""product"":""gelato"",""quantity"":2}",add,gelato,2
"{""action"":""add"",""product"":""broccoli"",""quantity"":19}",add,broccoli,19
"{""action"":""remove"",""product"":""spaghetti"",""quantity"":16}",remove,spaghetti,16
"{""action"":""remove"",""product"":""spaghetti"",""quantity"":5}",remove,spaghetti,5
"{""action"":""add"",""product"":""bread"",""quantity"":19}",add,bread,19
"{""action"":""remove"",""product"":""pasta"",""quantity"":16}",remove,pasta,16
"{""action"":""add"",""product"":""tea"",""quantity"":18}",add,tea,18
"{""action"":""add"",""product"":""wrap"",""quantity"":6}",add,wrap,6
"{""action"":""remove"",""product"":""garlic"",""quantity"":5}",remove,garlic,5
"{""action"":""remove"",""product"":""mozzarella"",""quantity"":2}",remove,mozzarella,2
"{""action"":""remove"",""product"":""detergent"",""quantity"":3}",remove,detergent,3
"{""action"":""add"",""product"":""oatmeal"",""quantity"":4}",add,oatmeal,4
"{""action"":""add"",""product"":""brownsugar"",""quantity"":6}",add,brownsugar,6
"{""action"":""remove"",""product"":""sweetpotatoes"",""quantity"":15}",remove,sweetpotatoes,15
"{""action"":""add"",""product"":""foil"",""quantity"":14}",add,foil,14
"{""action"":""remove"",""product"":""bananas"",""quantity"":15}",remove,bananas,15
"{""action"":""remove"",""product"":""spaghetti"",""quantity"":2}",remove,spaghetti,2
"{""action"":""remove"",""product"":""foil"",""quantity"":16}",remove,foil,16
"{""action"":""add"",""product"":""oliveoil"",""quantity"":1}",add,oliveoil,1
"{""action"":""remove"",""product"":""rice"",""quantity"":13}",remove,rice,13
"{""action"":""remove"",""product"":""apples"",""quantity"":19}",remove,apples,19
"{""action"":""add"",""product"":""oliveoil"",""quantity"":5}",add,oliveoil,5
"{""action"":""remove"",""product"":""lemons"",""quantity"":13}",remove,lemons,13
"{""action"":""remove"",""product"":""juice"",""quantity"":12}",remove,juice,12
"{""action"":""remove"",""product"":""packs of apples"",""quantity"":6}",remove,packs of apples,6
"{""action"":""add"",""product"":""tea"",""quantity"":1}",add,tea,1
"{""action"":""remove"",""product"":""coffee"",""quantity"":9}",remove,coffee,9
"{""action"":""remove"",""product"":""beef"",""quantity"":6}",remove,beef,6
"{""action"":""add"",""product"":""bulbs"",""quantity"":17}",add,bulbs,17
"{""action"":""remove"",""product"":""packs of garlic"",""quantity"":16}",remove,packs of garlic,16
"{""action"":""add"",""product"":""gelato"",""quantity"":3}",add,gelato,3
"{""action"":""add"",""product"":""shampoo"",""quantity"":18}",add,shampoo,18
"{""action"":""remove"",""product"":""toothpaste"",""quantity"":5}",remove,toothpaste,5
"{""action"":""add"",""product"":""rice"",""quantity"":14}",add,rice,14
"{""action"":""add"",""product"":""cereal"",""quantity"":18}",add,cereal,18
"{""action"":""remove"",""product"":""cheddar"",""quantity"":5}",remove,cheddar,5
"{""action"":""add"",""product"":""eggs"",""quantity"":10}",add,eggs,10
"{""action"":""add"",""product"":""potatoes"",""quantity"":17}",add,potatoes,17
"{""action"":""remove"",""product"":""butter"",""quantity"":4}",remove,butter,4
"{""action"":""add"",""product"":""towels"",""quantity"":15}",add,towels,15
"{""action"":""add"",""product"":""packs of bread"",""quantity"":3}",add,packs of bread,3
"{""action"":""remove"",""product"":""juice"",""quantity"":9}",remove,juice,9
"{""action"":""add"",""product"":""bread"",""quantity"":10}",add,bread,10
"{""action"":""add"",""product"":""broccoli"",""quantity"":20}",add,broccoli,20
"{""action"":""add"",""product"":""rice"",""quantity"":19}",add,rice,19
"{""action"":""remove"",""product"":""gelato"",""quantity"":16}",remove,gelato,16
"{""action"":""remove"",""product"":""foil"",""quantity"":6}",remove,foil,6
"{""action"":""add"",""product"":""blueberries"",""quantity"":3}",add,blueberries,3
"{""action"":""remove"",""product"":""treats"",""quantity"":18}",remove,treats,18
"{""action"":""add"",""product"":""cola"",""quantity"":9}",add,cola,9
"{""action"":""add"",""product"":""oliveoil"",""quantity"":16}",add,oliveoil,16
"{""action"":""add"",""product"":""gelato"",""quantity"":20}",add,gelato,20
"{""action"":""remove"",""product"":""paper"",""quantity"":17}",remove,paper,17
"{""action"":""add"",""product"":""brownsugar"",""quantity"":14}",add,brownsugar,14
"{""action"":""remove"",""product"":""bread"",""quantity"":15}",remove,bread,15
"{""action"":""remove"",""product"":""potatoes"",""quantity"":10}",remove,potatoes,10
"{""action"":""remove"",""product"":""soda"",""quantity"":3}",remove,soda,3
"{""action"":""remove"",""product"":""wipes"",""quantity"":20}",remove,wipes,20
"{""action"":""remove"",""product"":""pepper"",""quantity"":1}",remove,pepper,1
"{""action"":""add"",""product"":""oatmeal"",""quantity"":18}",add,oatmeal,18
"{""action"":""remove"",""product"":""water"",""quantity"":20}",remove,water,20
"{""action"":""remove"",""product"":""onions"",""quantity"":19}",remove,onions,19
"{""action"":""add"",""product"":""litter"",""quantity"":4}",add,litter,4
"{""action"":""add"",""product"":""eggs"",""quantity"":4}",add,eggs,4
"{""action"":""add"",""product"":""raspberries"",""quantity"":11}",add,raspberries,11
"{""action"":""add"",""product"":""raspberries"",""quantity"":14}",add,raspberries,14
"{""action"":""add"",""product"":""sweetpotatoes"",""quantity"":5}",add,sweetpotatoes,5
"{""action"":""add"",""product"":""bread"",""quantity"":4}",add,bread,4
"{""action"":""add"",""product"":""packs of milk"",""quantity"":18}",add,packs of milk,18
"{""action"":""add"",""product"":""tissues"",""quantity"":12}",add,tissues,12
"{""action"":""add"",""product"":""yogurt"",""quantity"":6}",add,yogurt,6
"{""action"":""remove"",""product"":""bags"",""quantity"":18}",remove,bags,18
"{""action"":""add"",""product"":""sweetpotatoes"",""quantity"":6}",add,sweetpotatoes,6
"{""action"":""remove"",""product"":""broccoli"",""quantity"":13}",remove,broccoli,13
"{""action"":""add"",""product"":""onions"",""quantity"":20}",add,onions,20
"{""action"":""remove"",""product"":""pineapple"",""quantity"":2}",remove,pineapple,2
"{""action"":""remove"",""product"":""packs of tissues"",""quantity"":5}",remove,packs of tissues,5
"{""action"":""remove"",""product"":""gelato"",""quantity"":5}",remove,gelato,5
"{""action"":""remove"",""product"":""lemonade"",""quantity"":18}",remove,lemonade,18
"{""action"":""remove"",""product"":""raspberries"",""quantity"":9}",remove,raspberries,9
"{""action"":""remove"",""product"":""tuna"",""quantity"":4}",remove,tuna,4
"{""action"":""remove"",""product"":""apples"",""quantity"":5}",remove,apples,5
"{""action"":""add"",""product"":""brownsugar"",""quantity"":11}",add,brownsugar,11
"{""action"":""add"",""product"":""bellpeppers"",""quantity"":18}",add,bellpeppers,18
"{""action"":""remove"",""product"":""garlic"",""quantity"":13}",remove,garlic,13
"{""action"":""remove"",""product"":""oatmeal"",""quantity"":10}",remove,oatmeal,10
"{""action"":""remove"",""product"":""wash"",""quantity"":3}",remove,wash,3
"{""action"":""remove"",""product"":""potatoes"",""quantity"":19}",remove,potatoes,19
"{""action"":""remove"",""product"":""wipes"",""quantity"":10}",remove,wipes,10
"{""action"":""remove"",""product"":""eggs"",""quantity"":18}",remove,eggs,18
"{""action"":""add"",""product"":""beef"",""quantity"":11}",add,beef,11
"{""action"":""remove"",""product"":""gelato"",""quantity"":8}",remove,gelato,8
"{""action"":""remove"",""product"":""packs of strawberries"",""quantity"":10}",remove,packs of strawberries,10
"{""action"":""remove"",""product"":""kibble"",""quantity"":20}",remove,kibble,20
"{""action"":""add"",""product"":""water"",""quantity"":12}",add,water,12
"{""action"":""remove"",""product"":""lemonade"",""quantity"":10}",remove,lemonade,10
"{""action"":""remove"",""product"":""lemons"",""quantity"":15}",remove,lemons,15
"{""action"":""add"",""product"":""toothpaste"",""quantity"":16}",add,toothpaste,16
