User Input,llm_action,llm_product,llm_quantity,Parsing Status,Raw Response
Need 11 broccoli,add,broccoli,11,success,"{
  ""action"": ""add"",
  ""product"": ""broccoli"",
  ""quantity"": 11
}"
Please add 20 wipes,add,wipes,20,success,"{
  ""action"": ""add"",
  ""product"": ""wipes"",
  ""quantity"": 20
}"
Add 1 more eggplant,add,eggplant,1,success,"{""action"": ""add"", ""product"": ""eggplant"", ""quantity"": 1}"
Take 10 butter out of my cart,remove,butter,10,success,"{""action"": ""remove"", ""product"": ""butter"", ""quantity"": 10}"
Remove 12 packs of wipes,remove,wipes,12,success,"{
  ""action"": ""remove"",
  ""product"": ""wipes"",
  ""quantity"": 12
}"
Could you add 16 litter,add,litter,16,success,"{
  ""action"": ""add"",
  ""product"": ""litter"",
  ""quantity"": 16
}"
Take out 2 juice,remove,juice,2,success,"{
  ""action"": ""remove"",
  ""product"": ""juice"",
  ""quantity"": 2
}"
Please add 14 spinach,add,spinach,14,success,"{""action"": ""add"", ""product"": ""spinach"", ""quantity"": 14}"
Remove 8 shampoo,remove,shampoo,8,success,"{""action"": ""remove"", ""product"": ""shampoo"", ""quantity"": 8}"
Please take away 7 coffee,remove,coffee,7,success,"{""action"": ""remove"", ""product"": ""coffee"", ""quantity"": 7}"
Cancel 19 kibble,remove,kibble,19,success,"{""action"": ""remove"", ""product"": ""kibble"", ""quantity"": 19}"
I want to remove 10 salmon,remove,salmon,10,success,"{""action"": ""remove"", ""product"": ""salmon"", ""quantity"": 10}"
Throw in 3 pepper,add,pepper,3,success,"{""action"": ""add"", ""product"": ""pepper"", ""quantity"": 3}"
Take out 10 towels,remove,towels,10,success,"{""action"": ""remove"", ""product"": ""towels"", ""quantity"": 10}"
Can you remove 6 conditioner,remove,conditioner,6,success,"{
  ""action"": ""remove"",
  ""product"": ""conditioner"",
  ""quantity"": 6
}"
Drop 15 gelato,remove,gelato,15,success,"{""action"": ""remove"", ""product"": ""gelato"", ""quantity"": 15}"
Delete 1 toothpaste from my cart,remove,toothpaste,1,success,"{""action"": ""remove"", ""product"": ""toothpaste"", ""quantity"": 1}"
Take away 10 more brownsugar,remove,brownsugar,10,success,"{""action"": ""remove"", ""product"": ""brownsugar"", ""quantity"": 10}"
I'll take 9 tea,take,tea,9,success,"{
  ""action"": ""take"",
  ""product"": ""tea"",
  ""quantity"": 9
}"
Add 5 packs of bulbs,add,bulbs,5,success,"{""action"": ""add"", ""product"": ""bulbs"", ""quantity"": 5}"
Please put 19 paper in my cart,add,paper,19,success,"{""action"": ""add"", ""product"": ""paper"", ""quantity"": 19}"
Remove 10 wipes,remove,wipes,10,success,"{""action"": ""remove"", ""product"": ""wipes"", ""quantity"": 10}"
Put 9 kibble in my cart,add,kibble,9,success,"{""action"": ""add"", ""product"": ""kibble"", ""quantity"": 9}"
Add 1 more cola,add,cola,1,success,"{""action"": ""add"", ""product"": ""cola"", ""quantity"": 1}"
Can I get 8 shampoo,add,shampoo,8,success,"{""action"": ""add"", ""product"": ""shampoo"", ""quantity"": 8}"
Please delete 16 rice,delete,rice,16,success,"{""action"": ""delete"", ""product"": ""rice"", ""quantity"": 16}"
I want to remove 18 salmon,remove,salmon,18,success,"{""action"": ""remove"", ""product"": ""salmon"", ""quantity"": 18}"
Take away 17 more juice,remove,juice,17,success,"{""action"": ""remove"", ""product"": ""juice"", ""quantity"": 17}"
Please add 5 broccoli,add,broccoli,5,success,"{""action"": ""add"", ""product"": ""broccoli"", ""quantity"": 5}"
I'd like to remove 19 tuna,remove,tuna,19,success,"{""action"": ""remove"", ""product"": ""tuna"", ""quantity"": 19}"
I need to remove 3 potatoes,remove,potatoes,3,success,"{""action"": ""remove"", ""product"": ""potatoes"", ""quantity"": 3}"
Add 7 kibble please,add,kibble,7,success,"{""action"": ""add"", ""product"": ""kibble"", ""quantity"": 7}"
Please put 3 soap in my cart,add,soap,3,success,"{""action"": ""add"", ""product"": ""soap"", ""quantity"": 3}"
I need 11 eggs,add,eggs,11,success,"{""action"": ""add"", ""product"": ""eggs"", ""quantity"": 11}"
Remove 2 packs of soap,remove,soap,2,success,"{""action"": ""remove"", ""product"": ""soap"", ""quantity"": 2}"
I want to remove 5 cheddar,remove,cheddar,5,success,"{""action"": ""remove"", ""product"": ""cheddar"", ""quantity"": 5}"
Take away 9 pepper,remove,pepper,9,success,"{""action"": ""remove"", ""product"": ""pepper"", ""quantity"": 9}"
Remove 17 gelato from my cart,remove,gelato,17,success,"{""action"": ""remove"", ""product"": ""gelato"", ""quantity"": 17}"
I need 14 juice added,add,juice,14,success,"{""action"": ""add"", ""product"": ""juice"", ""quantity"": 14}"
Can I get 9 towels,add,towel,9,success,"{
  ""action"": ""add"",
  ""product"": ""towel"",
  ""quantity"": 9
}"
Remove 2 cola please,remove,cola,2,success,"{""action"": ""remove"", ""product"": ""cola"", ""quantity"": 2}"
Could you remove 4 carrots,remove,carrots,4,success,"{
  ""action"": ""remove"",
  ""product"": ""carrots"",
  ""quantity"": 4
}"
Take away 4 bags,remove,bags,4,success,"{""action"": ""remove"", ""product"": ""bags"", ""quantity"": 4}"
Can I get 10 avocados,add,avocados,10,success,"{""action"": ""add"", ""product"": ""avocados"", ""quantity"": 10}"
I need 13 sunfloweroil added,add,sunfloweroil,13,success,"{""action"": ""add"", ""product"": ""sunfloweroil"", ""quantity"": 13}"
Delete 2 soap,delete,soap,2,success,"{""action"": ""delete"", ""product"": ""soap"", ""quantity"": 2}"
Get me 6 eggs,add,eggs,6,success,"{""action"": ""add"", ""product"": ""eggs"", ""quantity"": 6}"
Remove 3 units of tea,remove,tea,3,success,"{""action"": ""remove"", ""product"": ""tea"", ""quantity"": 3}"
Get me 4 bulbs,add,bulbs,4,success,"{""action"": ""add"", ""product"": ""bulbs"", ""quantity"": 4}"
Put 16 wrap in my cart,add,wrap,16,success,"{""action"": ""add"", ""product"": ""wrap"", ""quantity"": 16}"
I need to remove 20 raspberries,remove,rasberries,20,success,"{""action"": ""remove"", ""product"": ""rasberries"", ""quantity"": 20}"
Put in 17 spaghetti,add,spaghetti,17,success,"{""action"": ""add"", ""product"": ""spaghetti"", ""quantity"": 17}"
Take away 18 more cucumbers,remove,cucumbers,18,success,"{""action"": ""remove"", ""product"": ""cucumbers"", ""quantity"": 18}"
Can I get 2 cereal,add,cereal,2,success,"{""action"": ""add"", ""product"": ""cereal"", ""quantity"": 2}"
Need 14 towels,add,apples,5,success,"{""action"": ""add"", ""product"": ""apples"", ""quantity"": 5}"
Add 12 packs of foil,Add,foil,12,success,"{""action"": ""Add"", ""product"": ""foil"", ""quantity"": 12}"
Get rid of 3 batteries,remove,batteries,3,success,"{""action"": ""remove"", ""product"": ""batteries"", ""quantity"": 3}"
Add 8 of pineapple,add,pineapple,8,success,"{""action"": ""add"", ""product"": ""pineapple"", ""quantity"": 8}"
I want to remove 11 vegetables,remove,vegetables,11,success,"{""action"": ""remove"", ""product"": ""vegetables"", ""quantity"": 11}"
Remove 9 units of towels,remove,towels,9,success,"{""action"": ""remove"", ""product"": ""towels"", ""quantity"": 9}"
Could you remove 4 sunfloweroil,remove,sunfloweroil,4,success,"{""action"": ""remove"", ""product"": ""sunfloweroil"", ""quantity"": 4}"
Can you remove 7 mango,remove,mango,7,success,"{""action"": ""remove"", ""product"": ""mango"", ""quantity"": 7}"
I'd like to add 16 sweetpotatoes,add,sweetpotatoes,16,success,"{""action"": ""add"", ""product"": ""sweetpotatoes"", ""quantity"": 16}"
I'd like to add 9 broccoli,add,broccoli,9,success,"{""action"": ""add"", ""product"": ""broccoli"", ""quantity"": 9}"
Can you remove 13 spaghetti,remove,spaghetti,13,success,"{""action"": ""remove"", ""product"": ""spaghetti"", ""quantity"": 13}"
Remove 2 packs of bread,remove,bread,2,success,"{""action"": ""remove"", ""product"": ""bread"", ""quantity"": 2}"
Add 19 rice,add,rice,19,success,"{""action"": ""add"", ""product"": ""rice"", ""quantity"": 19}"
Can you remove 10 spinach,remove,spinach,10,success,"{""action"": ""remove"", ""product"": ""spinach"", ""quantity"": 10}"
Drop 10 mozzarella,remove,mozzarella,10,success,"{""action"": ""remove"", ""product"": ""mozzarella"", ""quantity"": 10}"
Please grab 14 coffee,grab,coffee,14,success,"{""action"": ""grab"", ""product"": ""coffee"", ""quantity"": 14}"
Add 8 wipes for me,add,wipes,8,success,"{""action"": ""add"", ""product"": ""wipes"", ""quantity"": 8}"
I'd like to add 4 lemons,add,lemons,4,success,"{""action"": ""add"", ""product"": ""lemons"", ""quantity"": 4}"
Remove 9 packs of sugar,remove,sugar,9,success,"{
  ""action"": ""remove"",
  ""product"": ""sugar"",
  ""quantity"": 9
}"
I'd like to add 9 sweetpotatoes,add,sweetpotatoes,9,success,"{""action"": ""add"", ""product"": ""sweetpotatoes"", ""quantity"": 9}"
Get me 13 wrap,add,wrap,13,success,"{""action"": ""add"", ""product"": ""wrap"", ""quantity"": 13}"
Could you remove 12 vegetables,remove,vegetables,12,success,"{""action"": ""remove"", ""product"": ""vegetables"", ""quantity"": 12}"
Add 15 of oatmeal,add,oatmeal,15,success,"{""action"": ""add"", ""product"": ""oatmeal"", ""quantity"": 15}"
Remove 9 milk please,remove,milk,9,success,"{""action"": ""remove"", ""product"": ""milk"", ""quantity"": 9}"
Remove 19 units of mango,remove,mango,19,success,"{""action"": ""remove"", ""product"": ""mango"", ""quantity"": 19}"
Take out 19 cucumbers,remove,cucumbers,19,success,"{""action"": ""remove"", ""product"": ""cucumbers"", ""quantity"": 19}"
Include 3 shampoo,include,shampoo,3,success,"{
  ""action"": ""include"",
  ""product"": ""shampoo"",
  ""quantity"": 3
}"
Remove 18 coffee please,remove,coffee,18,success,"{""action"": ""remove"", ""product"": ""coffee"", ""quantity"": 18}"
I'll take 12 toothpaste,purchase,toothpaste,12,success,"{
  ""action"": ""purchase"",
  ""product"": ""toothpaste"",
  ""quantity"": 12
}"
Put 4 juice in my cart,add,juice,4,success,"{""action"": ""add"", ""product"": ""juice"", ""quantity"": 4}"
Put 7 sweetpotatoes in the shopping cart,add,sweetpotatoes,7,success,"{""action"": ""add"", ""product"": ""sweetpotatoes"", ""quantity"": 7}"
Need 13 quinoa,add,quinoa,13,success,"{""action"": ""add"", ""product"": ""quinoa"", ""quantity"": 13}"
Please add 20 milk,add,milk,20,success,"{""action"": ""add"", ""product"": ""milk"", ""quantity"": 20}"
Need 15 potatoes,add,potatoes,15,success,"{""action"": ""add"", ""product"": ""potatoes"", ""quantity"": 15}"
I'd like 18 juice,add,juice,18,success,"{""action"": ""add"", ""product"": ""juice"", ""quantity"": 18}"
Add 7 butter to my cart,add,butter,7,success,"{""action"": ""add"", ""product"": ""butter"", ""quantity"": 7}"
Delete 6 detergent,delete,detergent,6,success,"{""action"": ""delete"", ""product"": ""detergent"", ""quantity"": 6}"
I'd like to remove 16 salmon,remove,salmon,16,success,"{""action"": ""remove"", ""product"": ""salmon"", ""quantity"": 16}"
Please grab 11 bulbs,add,bulbs,11,success,"{""action"": ""add"", ""product"": ""bulbs"", ""quantity"": 11}"
Include 9 onions in my order,add,onions,9,success,"{""action"": ""add"", ""product"": ""onions"", ""quantity"": 9}"
I need to remove 3 eggs,remove,eggs,3,success,"{""action"": ""remove"", ""product"": ""eggs"", ""quantity"": 3}"
Please include 8 beef,add,beef,8,success,"{""action"": ""add"", ""product"": ""beef"", ""quantity"": 8}"
I'd like to remove 7 bananas,remove,bananas,7,success,"{""action"": ""remove"", ""product"": ""bananas"", ""quantity"": 7}"
Remove 2 salmon please,remove,salmon,2,success,"{""action"": ""remove"", ""product"": ""salmon"", ""quantity"": 2}"
Could you remove 19 gelato,remove,gelato,19,success,"{""action"": ""remove"", ""product"": ""gelato"", ""quantity"": 19}"
Add 12 butter to my cart,add,butter,12,success,"{""action"": ""add"", ""product"": ""butter"", ""quantity"": 12}"
Remove 6 units of butter,remove,butter,6,success,"{""action"": ""remove"", ""product"": ""butter"", ""quantity"": 6}"
Remove 2 spaghetti,remove,spaghetti,2,success,"{""action"": ""remove"", ""product"": ""spaghetti"", ""quantity"": 2}"
I want to take out 11 sunfloweroil,remove,sunfloweroil,11,success,"{
  ""action"": ""remove"",
  ""product"": ""sunfloweroil"",
  ""quantity"": 11
}"
Delete 19 litter,delete,litter,19,success,"{""action"": ""delete"", ""product"": ""litter"", ""quantity"": 19}"
Put 2 gelato in the shopping cart,add,gelato,2,success,"{""action"": ""add"", ""product"": ""gelato"", ""quantity"": 2}"
Add 19 broccoli for me,add,broccoli,19,success,"{""action"": ""add"", ""product"": ""broccoli"", ""quantity"": 19}"
Take out 16 spaghetti,remove,spaghetti,16,success,"{""action"": ""remove"", ""product"": ""spaghetti"", ""quantity"": 16}"
Could you remove 5 spaghetti,remove,spaghetti,5,success,"{""action"": ""remove"", ""product"": ""spaghetti"", ""quantity"": 5}"
Add 18 more bread,add,bread,18,success,"{""action"": ""add"", ""product"": ""bread"", ""quantity"": 18}"
Cancel 16 pasta,remove,pasta,16,success,"{""action"": ""remove"", ""product"": ""pasta"", ""quantity"": 16}"
I want 18 tea,add,tea,18,success,"{""action"": ""add"", ""product"": ""tea"", ""quantity"": 18}"
I need 6 wrap added,add,wrap,6,success,"{""action"": ""add"", ""product"": ""wrap"", ""quantity"": 6}"
Take 5 garlic out of my cart,remove,garlic,5,success,"{""action"": ""remove"", ""product"": ""garlic"", ""quantity"": 5}"
I don't need 2 mozzarella,remove,mozzarella,2,success,"{
  ""action"": ""remove"",
  ""product"": ""mozzarella"",
  ""quantity"": 2
}"
Take 3 detergent out,remove,detergent,3,success,"{""action"": ""remove"", ""product"": ""detergent"", ""quantity"": 3}"
Get me 4 oatmeal,add,oatmeal,4,success,"{""action"": ""add"", ""product"": ""oatmeal"", ""quantity"": 4}"
Could you add 6 brownsugar,add,brownsugar,6,success,"{""action"": ""add"", ""product"": ""brownsugar"", ""quantity"": 6}"
Take away 15 more sweetpotatoes,remove,sweetpotatoes,15,success,"{""action"": ""remove"", ""product"": ""sweetpotatoes"", ""quantity"": 15}"
Add 14 foil for me,add,foil,14,success,"{""action"": ""add"", ""product"": ""foil"", ""quantity"": 14}"
Remove 15 bananas,remove,bananas,15,success,"{""action"": ""remove"", ""product"": ""bananas"", ""quantity"": 15}"
Remove 2 more spaghetti,remove,spaghetti,2,success,"{""action"": ""remove"", ""product"": ""spaghetti"", ""quantity"": 2}"
Take out 16 foil,remove,foil,16,success,"{""action"": ""remove"", ""product"": ""foil"", ""quantity"": 16}"
Include 20 oliveoil,include,oliveoil,20,success,"{
  ""action"": ""include"",
  ""product"": ""oliveoil"",
  ""quantity"": 20
}"
Remove 13 of rice,remove,rice,13,success,"{""action"": ""remove"", ""product"": ""rice"", ""quantity"": 13}"
Take out 19 apples,remove,apples,19,success,"{""action"": ""remove"", ""product"": ""apples"", ""quantity"": 19}"
Please add 5 oliveoil,add,oliveoil,5,success,"{""action"": ""add"", ""product"": ""oliveoil"", ""quantity"": 5}"
Remove 13 more lemons,remove,lemons,13,success,"{""action"": ""remove"", ""product"": ""lemons"", ""quantity"": 13}"
Get rid of 12 juice,remove,juice,12,success,"{""action"": ""remove"", ""product"": ""juice"", ""quantity"": 12}"
Remove 6 packs of apples,remove,apples,6,success,"{
  ""action"": ""remove"",
  ""product"": ""apples"",
  ""quantity"": 6
}"
I need 1 tea added,add,tea,1,success,"{""action"": ""add"", ""product"": ""tea"", ""quantity"": 1}"
Drop 9 coffee,drop,coffee,9,success,"{""action"": ""drop"", ""product"": ""coffee"", ""quantity"": 9}"
Remove 6 beef please,remove,beef,6,success,"{""action"": ""remove"", ""product"": ""beef"", ""quantity"": 6}"
Add 17 bulbs for me,add,bulbs,17,success,"{""action"": ""add"", ""product"": ""bulbs"", ""quantity"": 17}"
Remove 16 packs of garlic,remove,garlic,16,success,"{""action"": ""remove"", ""product"": ""garlic"", ""quantity"": 16}"
I want to add 3 gelato,add,gelato,3,success,"{""action"": ""add"", ""product"": ""gelato"", ""quantity"": 3}"
Can you add 18 shampoo,add,shampoo,18,success,"{""action"": ""add"", ""product"": ""shampoo"", ""quantity"": 18}"
Remove 5 more toothpaste,remove,toothpaste,5,success,"{""action"": ""remove"", ""product"": ""toothpaste"", ""quantity"": 5}"
Put 14 rice in the shopping cart,add,rice,14,success,"{""action"": ""add"", ""product"": ""rice"", ""quantity"": 14}"
Can I get 18 cereal,add,cereal,18,success,"{""action"": ""add"", ""product"": ""cereal"", ""quantity"": 18}"
Remove 5 of cheddar,remove,cheddar,5,success,"{""action"": ""remove"", ""product"": ""cheddar"", ""quantity"": 5}"
Add 10 units of eggs,add,eggs,10,success,"{""action"": ""add"", ""product"": ""eggs"", ""quantity"": 10}"
I want 17 potatoes,add,potatoes,17,success,"{""action"": ""add"", ""product"": ""potatoes"", ""quantity"": 17}"
Take away 4 butter,remove,butter,4,success,"{""action"": ""remove"", ""product"": ""butter"", ""quantity"": 4}"
I'll take 15 towels,take,towels,15,success,"{""action"": ""take"", ""product"": ""towels"", ""quantity"": 15}"
Add 3 packs of bread,add,bread,3,success,"{""action"": ""add"", ""product"": ""bread"", ""quantity"": 3}"
Remove 9 juice,remove,juice,9,success,"{""action"": ""remove"", ""product"": ""juice"", ""quantity"": 9}"
I don't need 10 bread,remove,bread,10,success,"{""action"": ""remove"", ""product"": ""bread"", ""quantity"": 10}"
Please grab 20 broccoli,grab,broccoli,20,success,"{
  ""action"": ""grab"",
  ""product"": ""broccoli"",
  ""quantity"": 20
}"
I'd like to add 19 rice,add,rice,19,success,"{""action"": ""add"", ""product"": ""rice"", ""quantity"": 19}"
Take away 16 more gelato,remove,gelato,16,success,"{""action"": ""remove"", ""product"": ""gelato"", ""quantity"": 16}"
I want to take out 6 foil,remove,foil,6,success,"{""action"": ""remove"", ""product"": ""foil"", ""quantity"": 6}"
Add 3 of blueberries,add,blueberries,3,success,"{""action"": ""add"", ""product"": ""blueberries"", ""quantity"": 3}"
Drop 18 treats,remove,treats,18,success,"{""action"": ""remove"", ""product"": ""treats"", ""quantity"": 18}"
Add 9 of cola,add,cola,9,success,"{""action"": ""add"", ""product"": ""cola"", ""quantity"": 9}"
Get me 16 oliveoil,add,oliveoil,16,success,"{""action"": ""add"", ""product"": ""oliveoil"", ""quantity"": 16}"
Add 20 units of gelato,add,gelato,20,success,"{""action"": ""add"", ""product"": ""gelato"", ""quantity"": 20}"
I need to remove 17 paper,remove,paper,17,success,"{""action"": ""remove"", ""product"": ""paper"", ""quantity"": 17}"
Add 14 packs of brownsugar,add,brownsugar,14,success,"{""action"": ""add"", ""product"": ""brownsugar"", ""quantity"": 14}"
Please remove 15 bread,remove,bread,15,success,"{""action"": ""remove"", ""product"": ""bread"", ""quantity"": 15}"
I want to take out 10 potatoes,remove,potatoes,10,success,"{""action"": ""remove"", ""product"": ""potatoes"", ""quantity"": 10}"
Please take away 3 soda,remove,soda,3,success,"{""action"": ""remove"", ""product"": ""soda"", ""quantity"": 3}"
Get rid of 20 wipes,remove,wipes,20,success,"{""action"": ""remove"", ""product"": ""wipes"", ""quantity"": 20}"
Please take away 1 pepper,remove,pepper,1,success,"{""action"": ""remove"", ""product"": ""pepper"", ""quantity"": 1}"
Get me 18 oatmeal,add,oatmeal,18,success,"{""action"": ""add"", ""product"": ""oatmeal"", ""quantity"": 18}"
Could you remove 20 water,remove,water,20,success,"{""action"": ""remove"", ""product"": ""water"", ""quantity"": 20}"
Remove 19 more onions,remove,onions,19,success,"{""action"": ""remove"", ""product"": ""onions"", ""quantity"": 19}"
Add 4 of litter,add,litter,4,success,"{""action"": ""add"", ""product"": ""litter"", ""quantity"": 4}"
Can I get 4 eggs,add,eggs,4,success,"{""action"": ""add"", ""product"": ""eggs"", ""quantity"": 4}"
Please include 11 raspberries,add,raspberries,11,success,"{
  ""action"": ""add"",
  ""product"": ""raspberries"",
  ""quantity"": 11
}"
Can you add 14 raspberries,add,rasberries,14,success,"{""action"": ""add"", ""product"": ""rasberries"", ""quantity"": 14}"
Please include 5 sweetpotatoes,add,sweetpotatoes,5,success,"{""action"": ""add"", ""product"": ""sweetpotatoes"", ""quantity"": 5}"
Get me 4 bread,add,bread,4,success,"{""action"": ""add"", ""product"": ""bread"", ""quantity"": 4}"
Add 18 packs of milk,Add,milk,18,success,"{""action"": ""Add"", ""product"": ""milk"", ""quantity"": 18}"
Add 12 tissues for me,add,tissues,12,success,"{""action"": ""add"", ""product"": ""tissues"", ""quantity"": 12}"
Put 6 yogurt in the shopping cart,add,yogurt,6,success,"{""action"": ""add"", ""product"": ""yogurt"", ""quantity"": 6}"
Please delete 18 bags,delete,bags,18,success,"{""action"": ""delete"", ""product"": ""bags"", ""quantity"": 18}"
Please include 6 sweetpotatoes,add,sweetpotatoes,6,success,"{""action"": ""add"", ""product"": ""sweetpotatoes"", ""quantity"": 6}"
Take away 13 more broccoli,remove,broccoli,13,success,"{""action"": ""remove"", ""product"": ""broccoli"", ""quantity"": 13}"
I need 20 onions,add,onions,20,success,"{
  ""action"": ""add"",
  ""product"": ""onions"",
  ""quantity"": 20
}"
Delete 2 pineapple,delete,pineapple,2,success,"{""action"": ""delete"", ""product"": ""pineapple"", ""quantity"": 2}"
Remove 5 packs of tissues,remove,tissues,5,success,"{
  ""action"": ""remove"",
  ""product"": ""tissues"",
  ""quantity"": 5
}"
I want to take out 5 gelato,remove,gelato,5,success,"{""action"": ""remove"", ""product"": ""gelato"", ""quantity"": 5}"
Take 18 lemonade out,remove,lemonade,18,success,"{""action"": ""remove"", ""product"": ""lemonade"", ""quantity"": 18}"
I want to take out 9 raspberries,remove,rasberries,9,success,"{""action"": ""remove"", ""product"": ""rasberries"", ""quantity"": 9}"
Drop 4 tuna,remove,tuna,4,success,"{""action"": ""remove"", ""product"": ""tuna"", ""quantity"": 4}"
Can you remove 5 apples,remove,apples,5,success,"{""action"": ""remove"", ""product"": ""apples"", ""quantity"": 5}"
I want to add 11 brownsugar,add,brownsugar,11,success,"{""action"": ""add"", ""product"": ""brownsugar"", ""quantity"": 11}"
Add 18 bellpeppers please,add,bellpeppers,18,success,"{""action"": ""add"", ""product"": ""bellpeppers"", ""quantity"": 18}"
Remove 13 garlic from my cart,remove,garlic,13,success,"{""action"": ""remove"", ""product"": ""garlic"", ""quantity"": 13}"
Take 10 oatmeal out,remove,oatmeal,10,success,"{""action"": ""remove"", ""product"": ""oatmeal"", ""quantity"": 10}"
Take away 3 more wash,remove,wash,3,success,"{""action"": ""remove"", ""product"": ""wash"", ""quantity"": 3}"
I'd like to remove 19 potatoes,remove,potatoes,19,success,"{""action"": ""remove"", ""product"": ""potatoes"", ""quantity"": 19}"
Remove 10 wipes,remove,wipes,10,success,"{""action"": ""remove"", ""product"": ""wipes"", ""quantity"": 10}"
Remove 18 eggs from my cart,remove,eggs,18,success,"{""action"": ""remove"", ""product"": ""eggs"", ""quantity"": 18}"
Please include 11 beef,add,beef,11,success,"{""action"": ""add"", ""product"": ""beef"", ""quantity"": 11}"
Delete 8 gelato,delete,gelato,8,success,"{""action"": ""delete"", ""product"": ""gelato"", ""quantity"": 8}"
Remove 10 packs of strawberries,remove,strawberries,10,success,"{""action"": ""remove"", ""product"": ""strawberries"", ""quantity"": 10, ""unit"": ""packs""}"
Remove 20 kibble please,remove,kibble,20,success,"{""action"": ""remove"", ""product"": ""kibble"", ""quantity"": 20}"
Add 12 water please,add,water,12,success,"{""action"": ""add"", ""product"": ""water"", ""quantity"": 12}"
Get rid of 10 lemonade,remove,lemonade,10,success,"{""action"": ""remove"", ""product"": ""lemonade"", ""quantity"": 10}"
Take 15 lemons out of my cart,remove,lemons,15,success,"{""action"": ""remove"", ""product"": ""lemons"", ""quantity"": 15}"
Add 16 toothpaste for me,add,toothpaste,16,success,"{""action"": ""add"", ""product"": ""toothpaste"", ""quantity"": 16}"
Delete 11 sweetpotatoes from my cart,remove,sweetpotatoes,11,success,"{""action"": ""remove"", ""product"": ""sweetpotatoes"", ""quantity"": 11}"
Include 13 onions in my order,add,onions,13,success,"{""action"": ""add"", ""product"": ""onions"", ""quantity"": 13}"
Delete 5 bulbs from my cart,remove,bulbs,5,success,"{""action"": ""remove"", ""product"": ""bulbs"", ""quantity"": 5}"
Get me 1 chicken,add,chicken,1,success,"{""action"": ""add"", ""product"": ""chicken"", ""quantity"": 1}"
Add 15 units of bananas,add,bananas,15,success,"{""action"": ""add"", ""product"": ""bananas"", ""quantity"": 15}"
I don't need 12 juice,remove,juice,12,success,"{""action"": ""remove"", ""product"": ""juice"", ""quantity"": 12}"
I'd like 5 eggplant,add,eggplant,5,success,"{
  ""action"": ""add"",
  ""product"": ""eggplant"",
  ""quantity"": 5
}"
I'd like to add 11 conditioner,add,conditioner,11,success,"{""action"": ""add"", ""product"": ""conditioner"", ""quantity"": 11}"
Can I get 19 batteries,add,batteries,19,success,"{""action"": ""add"", ""product"": ""batteries"", ""quantity"": 19}"
Remove 10 bags please,remove,bags,10,success,"{""action"": ""remove"", ""product"": ""bags"", ""quantity"": 10}"
Add 2 of juice,add,juice,2,success,"{""action"": ""add"", ""product"": ""juice"", ""quantity"": 2}"
Can you remove 11 conditioner,remove,conditioner,11,success,"{""action"": ""remove"", ""product"": ""conditioner"", ""quantity"": 11}"
Get me 17 cucumbers,add,cucumbers,17,success,"{""action"": ""add"", ""product"": ""cucumbers"", ""quantity"": 17}"
Add 10 more lemons,add,lemons,10,success,"{""action"": ""add"", ""product"": ""lemons"", ""quantity"": 10}"
Remove 15 conditioner from my cart,remove,conditioner,15,success,"{""action"": ""remove"", ""product"": ""conditioner"", ""quantity"": 15}"
I don't need 6 mushrooms,remove,mushrooms,6,success,"{""action"": ""remove"", ""product"": ""mushrooms"", ""quantity"": 6}"
I want to take out 2 apples,remove,apples,2,success,"{""action"": ""remove"", ""product"": ""apples"", ""quantity"": 2}"
Throw in 8 oliveoil,add,oliveoil,8,success,"{
  ""action"": ""add"",
  ""product"": ""oliveoil"",
  ""quantity"": 8
}"
Get rid of 2 bulbs,remove,bulbs,2,success,"{""action"": ""remove"", ""product"": ""bulbs"", ""quantity"": 2}"
Please take away 17 gelato,remove,gelato,17,success,"{""action"": ""remove"", ""product"": ""gelato"", ""quantity"": 17}"
Add 15 more bread,add,bread,15,success,"{""action"": ""add"", ""product"": ""bread"", ""quantity"": 15}"
I'd like to remove 13 strawberries,remove,strawberries,13,success,"{""action"": ""remove"", ""product"": ""strawberries"", ""quantity"": 13}"
Cancel 15 water,remove,water,15,success,"{""action"": ""remove"", ""product"": ""water"", ""quantity"": 15}"
Remove 5 units of blueberries,remove,blueberries,5,success,"{""action"": ""remove"", ""product"": ""blueberries"", ""quantity"": 5}"
I want to take out 7 conditioner,remove,conditioner,7,success,"{""action"": ""remove"", ""product"": ""conditioner"", ""quantity"": 7}"
Please include 15 mushrooms,add,mushrooms,15,success,"{""action"": ""add"", ""product"": ""mushrooms"", ""quantity"": 15}"
Add 16 quinoa to my cart,add,quinoa,16,success,"{""action"": ""add"", ""product"": ""quinoa"", ""quantity"": 16}"
Remove 9 spaghetti please,remove,spaghetti,9,success,"{""action"": ""remove"", ""product"": ""spaghetti"", ""quantity"": 9}"
Delete 11 pepper,delete,pepper,11,success,"{""action"": ""delete"", ""product"": ""pepper"", ""quantity"": 11}"
I want to remove 11 salmon,remove,salmon,11,success,"{""action"": ""remove"", ""product"": ""salmon"", ""quantity"": 11}"
Add 9 strawberries,add,strawberries,9,success,"{""action"": ""add"", ""product"": ""strawberries"", ""quantity"": 9}"
Please add 2 yogurt,add,yogurt,2,success,"{""action"": ""add"", ""product"": ""yogurt"", ""quantity"": 2}"
Remove 9 units of detergent,remove,detergent,9,success,"{""action"": ""remove"", ""product"": ""detergent"", ""quantity"": 9}"
